qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6.0,GaussianNB,0.9988,0.00,0.9985,0.00,0.9993,0.00,0.9993,0.00,0.9993,0.00,0.9964,0.01,0.9993,0.00
6.0,DecisionTree,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,RandomForest,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,LogisticRegression,0.9930,0.01,1.0000,0.00,0.9955,0.00,0.9981,0.01,0.9847,0.01,0.9797,0.02,0.9845,0.01
6.0,SVM,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,Bagging,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,KNN,0.9988,0.00,1.0000,0.00,0.9992,0.00,1.0000,0.00,0.9973,0.01,0.9965,0.01,0.9973,0.01
6.0,Adaboost,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
6.0,MLP,0.7653,0.04,1.0000,0.00,0.8664,0.03,0.5000,0.00,0.5000,0.00,0.0000,0.00,0.0000,0.00
6.0,Catboost,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00,1.0000,0.00
